location,total_cases,total_cases,total_cases,total_cases,total_cases
,sum,count,mean,min,max
Afghanistan,4568497.0,280,16316.060714285713,0.0,39341.0
Albania,853811.0,208,4104.860576923077,11.0,14266.0
Algeria,4517337.0,214,21109.051401869157,25.0,53072.0
Angola,231726.0,193,1200.6528497409327,7.0,5725.0
Argentina,37869580.0,214,176960.65420560748,9.0,856356.0
Australia,3011880.0,233,12926.523605150214,26.0,27390.0
Austria,4654940.0,217,21451.336405529953,361.0,59368.0
Azerbaijan,4191598.0,212,19771.688679245282,44.0,44317.0
Bahrain,6548248.0,217,30176.25806451613,221.0,77902.0
Bangladesh,30696689.0,200,153483.445,24.0,371631.0
Barbados,24543.0,197,124.58375634517766,56.0,222.0
Belarus,9663377.0,189,51128.978835978836,254.0,81505.0
Belgium,15190415.0,222,68425.2927927928,600.0,222126.0
Belize,77980.0,186,419.247311827957,5.0,2310.0
Benin,221232.0,186,1189.4193548387098,26.0,2411.0
Bolivia,10744688.0,196,54819.836734693876,96.0,138463.0
Bosnia and Herzegovina,2036709.0,207,9839.173913043478,92.0,31173.0
Botswana,200513.0,200,1002.565,4.0,5242.0
Brazil,292459528.0,189,1547404.91005291,291.0,4558068.0
Brunei,28798.0,204,141.16666666666666,120.0,147.0
Bulgaria,1831763.0,220,8326.195454545454,7.0,28505.0
Burkina Faso,219695.0,210,1046.1666666666667,26.0,2305.0
Burundi,45978.0,181,254.02209944751382,5.0,524.0
Cameroon,2411994.0,206,11708.708737864077,72.0,21441.0
Canada,20121475.0,220,91461.25,77.0,189387.0
Cape Verde,404665.0,201,2013.2587064676618,3.0,6913.0
Central African Republic,573052.0,146,3925.013698630137,552.0,4855.0
Chad,148044.0,170,870.8470588235294,52.0,1329.0
Chile,42652616.0,193,220998.0103626943,632.0,462991.0
China,20541718.0,271,75799.69741697417,59.0,90667.0
Colombia,59583492.0,211,282386.21800947865,210.0,952371.0
Congo,447491.0,197,2271.527918781726,22.0,5156.0
Costa Rica,3470416.0,202,17180.27722772277,69.0,81129.0
Cote d'Ivoire,1990567.0,197,10104.401015228426,165.0,20154.0
Croatia,1152710.0,202,5706.485148514851,382.0,20440.0
Cyprus,236042.0,209,1129.3875598086124,124.0,2644.0
Czech Republic,3725462.0,200,18627.31,1165.0,95360.0
Democratic Republic of Congo,1271336.0,212,5996.867924528302,23.0,11051.0
Denmark,2692298.0,208,12943.740384615385,875.0,31156.0
Djibouti,764700.0,190,4024.7368421052633,140.0,5443.0
Dominican Republic,10407269.0,211,49323.549763033174,34.0,120450.0
Ecuador,13951304.0,217,64291.72350230415,23.0,150360.0
Egypt,12001896.0,221,54307.22171945701,49.0,104915.0
El Salvador,2541395.0,201,12643.756218905473,32.0,31456.0
Estonia,399224.0,197,2026.517766497462,404.0,3715.0
Ethiopia,4181933.0,189,22126.62962962963,43.0,83429.0
Fiji,2180.0,73,29.863013698630137,27.0,32.0
Finland,1342390.0,203,6612.758620689655,521.0,11580.0
France,42250666.0,238,177523.80672268907,11.0,671638.0
Gabon,996280.0,209,4766.88995215311,3.0,8869.0
Gambia,225866.0,209,1080.6985645933014,2.0,3649.0
Georgia,396128.0,195,2031.425641025641,174.0,15327.0
Germany,37803301.0,210,180015.71904761906,1139.0,300619.0
Ghana,4382483.0,201,21803.398009950248,21.0,46829.0
Greece,1230784.0,214,5751.327102803738,99.0,22078.0
Guatemala,7044367.0,212,33228.1462264151,1.0,97826.0
Guinea,1136565.0,182,6244.8626373626375,404.0,11134.0
