location,total_deaths,total_deaths,total_deaths,total_deaths,total_deaths
,sum,count,mean,min,max
Afghanistan,145187.0,280,518.525,0.0,1462.0
Albania,25118.0,208,120.75961538461539,1.0,396.0
Algeria,193596.0,214,904.6542056074767,1.0,1801.0
Angola,9387.0,193,48.637305699481864,2.0,206.0
Argentina,829634.0,214,3876.7943925233644,1.0,22710.0
Australia,65029.0,233,279.09442060085837,1.0,904.0
Austria,131333.0,217,605.221198156682,1.0,888.0
Azerbaijan,58869.0,212,277.6839622641509,1.0,623.0
Bahrain,22413.0,217,103.28571428571429,1.0,300.0
Bangladesh,417871.0,200,2089.355,2.0,5405.0
Barbados,1321.0,197,6.7055837563451774,1.0,7.0
Belarus,78458.0,189,415.1216931216931,4.0,874.0
Belgium,1798461.0,222,8101.175675675676,1.0,10409.0
Belize,1188.0,186,6.387096774193548,1.0,34.0
Benin,3964.0,186,21.311827956989248,1.0,41.0
Bolivia,511407.0,196,2609.219387755102,3.0,8292.0
Bosnia and Herzegovina,65708.0,207,317.42995169082127,1.0,947.0
Botswana,875.0,200,4.375,1.0,20.0
Brazil,10380285.0,189,54922.142857142855,1.0,137272.0
Brunei,472.0,204,2.3137254901960786,1.0,3.0
Bulgaria,70896.0,220,322.25454545454545,1.0,958.0
Burkina Faso,9925.0,210,47.26190476190476,1.0,63.0
Burundi,181.0,181,1.0,1.0,1.0
Cameroon,55337.0,206,268.626213592233,1.0,423.0
Canada,1416622.0,220,6439.190909090909,1.0,9664.0
Cape Verde,4111.0,201,20.45273631840796,1.0,74.0
Central African Republic,6922.0,146,47.41095890410959,1.0,62.0
Chad,11841.0,170,69.65294117647059,2.0,92.0
Chile,1045743.0,193,5418.357512953368,1.0,12741.0
China,1010071.0,271,3727.19926199262,1.0,4739.0
Colombia,1907164.0,211,9038.691943127962,1.0,28803.0
Congo,8838.0,197,44.86294416243655,2.0,92.0
Costa Rica,36018.0,202,178.30693069306932,1.0,987.0
Cote d'Ivoire,13375.0,197,67.89340101522842,1.0,120.0
Croatia,26359.0,202,130.490099009901,1.0,324.0
Cyprus,3735.0,209,17.870813397129186,3.0,25.0
Czech Republic,67461.0,200,337.305,1.0,829.0
Democratic Republic of Congo,32040.0,212,151.1320754716981,1.0,302.0
Denmark,106546.0,208,512.2403846153846,1.0,665.0
Djibouti,7823.0,190,41.17368421052632,1.0,61.0
Dominican Republic,204630.0,211,969.8104265402843,2.0,2192.0
Ecuador,1046630.0,217,4823.179723502304,1.0,12306.0
Egypt,620000.0,221,2805.4298642533936,1.0,6077.0
El Salvador,71035.0,201,353.40796019900495,1.0,922.0
Estonia,11055.0,197,56.11675126903553,1.0,67.0
Ethiopia,67121.0,189,355.1375661375661,2.0,1277.0
Fiji,118.0,73,1.6164383561643836,1.0,2.0
Finland,55240.0,203,272.1182266009852,1.0,346.0
France,5303308.0,238,22282.806722689074,1.0,32521.0
Gabon,6661.0,209,31.870813397129186,1.0,54.0
Gambia,7083.0,209,33.889952153110045,1.0,118.0
Georgia,3749.0,195,19.225641025641025,2.0,124.0
Germany,1505488.0,210,7168.990476190476,2.0,9534.0
Ghana,25751.0,201,128.1144278606965,1.0,303.0
Greece,40988.0,214,191.53271028037383,1.0,436.0
Guatemala,260772.0,212,1230.0566037735848,1.0,3387.0
Guinea,6933.0,182,38.09340659340659,1.0,70.0
Guyana,5139.0,213,24.12676056338028,1.0,104.0
Haiti,22276.0,189,117.86243386243386,1.0,230.0
Honduras,188072.0,202,931.049504950495,1.0,2528.0
Hungary,101594.0,210,483.7809523809524,1.0,954.0
